ID,Resume Text,Job Role,ATS Score
1,"Experienced data scientist skilled in Python, SQL, TensorFlow, and machine learning. Passionate about data scientist advancements.",Data Scientist,85
1,"Experienced data scientist skilled in Python, SQL, TensorFlow, and machine learning. Experience in data scientist projects and innovations.",Data Scientist,85
1,"Experienced data scientist skilled in Python, SQL, TensorFlow, and machine learning. Experience in data scientist projects and innovations.",Data Scientist,85
1,"Experienced data scientist skilled in Python, SQL, TensorFlow, and machine learning. Experience in data scientist projects and innovations.",Data Scientist,85
1,"Experienced data scientist skilled in Python, SQL, TensorFlow, and machine learning. Worked on multiple data scientist solutions and optimizations.",Data Scientist,85
2,"Software engineer with 7 years of experience in full-stack development using JavaScript, React, and Node.js. Experience in full-stack developer projects and innovations.",Full-Stack Developer,88
2,"Software engineer with 7 years of experience in full-stack development using JavaScript, React, and Node.js. Passionate about full-stack developer advancements.",Full-Stack Developer,88
2,"Software engineer with 7 years of experience in full-stack development using JavaScript, React, and Node.js. Experience in full-stack developer projects and innovations.",Full-Stack Developer,88
2,"Software engineer with 7 years of experience in full-stack development using JavaScript, React, and Node.js. Strong background in full-stack developer industry trends.",Full-Stack Developer,88
2,"Software engineer with 7 years of experience in full-stack development using JavaScript, React, and Node.js. Experience in full-stack developer projects and innovations.",Full-Stack Developer,88
3,"Marketing professional with expertise in SEO, Google Ads, content strategy, and social media campaigns. Specialized in marketing specialist technologies and strategies.",Marketing Specialist,81
3,"Marketing professional with expertise in SEO, Google Ads, content strategy, and social media campaigns. Experience in marketing specialist projects and innovations.",Marketing Specialist,81
3,"Marketing professional with expertise in SEO, Google Ads, content strategy, and social media campaigns. Specialized in marketing specialist technologies and strategies.",Marketing Specialist,81
3,"Marketing professional with expertise in SEO, Google Ads, content strategy, and social media campaigns. Worked on multiple marketing specialist solutions and optimizations.",Marketing Specialist,81
3,"Marketing professional with expertise in SEO, Google Ads, content strategy, and social media campaigns. Experience in marketing specialist projects and innovations.",Marketing Specialist,81
4,"Project manager experienced in agile methodologies, risk management, and team leadership. Specialized in project manager technologies and strategies.",Project Manager,66
4,"Project manager experienced in agile methodologies, risk management, and team leadership. Experience in project manager projects and innovations.",Project Manager,66
4,"Project manager experienced in agile methodologies, risk management, and team leadership. Passionate about project manager advancements.",Project Manager,66
4,"Project manager experienced in agile methodologies, risk management, and team leadership. Specialized in project manager technologies and strategies.",Project Manager,66
4,"Project manager experienced in agile methodologies, risk management, and team leadership. Specialized in project manager technologies and strategies.",Project Manager,66
5,"AI research scientist with knowledge in deep learning, NLP, and computer vision. Passionate about ai research scientist advancements.",AI Research Scientist,73
5,"AI research scientist with knowledge in deep learning, NLP, and computer vision. Experience in ai research scientist projects and innovations.",AI Research Scientist,73
5,"AI research scientist with knowledge in deep learning, NLP, and computer vision. Specialized in ai research scientist technologies and strategies.",AI Research Scientist,73
5,"AI research scientist with knowledge in deep learning, NLP, and computer vision. Experience in ai research scientist projects and innovations.",AI Research Scientist,73
5,"AI research scientist with knowledge in deep learning, NLP, and computer vision. Experience in ai research scientist projects and innovations.",AI Research Scientist,73
6,"Cybersecurity analyst specializing in threat detection, ethical hacking, and network security. Passionate about cybersecurity analyst advancements.",Cybersecurity Analyst,86
6,"Cybersecurity analyst specializing in threat detection, ethical hacking, and network security. Specialized in cybersecurity analyst technologies and strategies.",Cybersecurity Analyst,86
6,"Cybersecurity analyst specializing in threat detection, ethical hacking, and network security. Passionate about cybersecurity analyst advancements.",Cybersecurity Analyst,86
6,"Cybersecurity analyst specializing in threat detection, ethical hacking, and network security. Strong background in cybersecurity analyst industry trends.",Cybersecurity Analyst,86
6,"Cybersecurity analyst specializing in threat detection, ethical hacking, and network security. Worked on multiple cybersecurity analyst solutions and optimizations.",Cybersecurity Analyst,86
7,"Cloud engineer proficient in AWS, Azure, DevOps, and Kubernetes. Experience in cloud engineer projects and innovations.",Cloud Engineer,60
7,"Cloud engineer proficient in AWS, Azure, DevOps, and Kubernetes. Passionate about cloud engineer advancements.",Cloud Engineer,60
7,"Cloud engineer proficient in AWS, Azure, DevOps, and Kubernetes. Experience in cloud engineer projects and innovations.",Cloud Engineer,60
7,"Cloud engineer proficient in AWS, Azure, DevOps, and Kubernetes. Passionate about cloud engineer advancements.",Cloud Engineer,60
7,"Cloud engineer proficient in AWS, Azure, DevOps, and Kubernetes. Worked on multiple cloud engineer solutions and optimizations.",Cloud Engineer,60
8,"HR manager with expertise in talent acquisition, employee engagement, and organizational development. Strong background in hr manager industry trends.",HR Manager,67
8,"HR manager with expertise in talent acquisition, employee engagement, and organizational development. Experience in hr manager projects and innovations.",HR Manager,67
8,"HR manager with expertise in talent acquisition, employee engagement, and organizational development. Specialized in hr manager technologies and strategies.",HR Manager,67
8,"HR manager with expertise in talent acquisition, employee engagement, and organizational development. Experience in hr manager projects and innovations.",HR Manager,67
8,"HR manager with expertise in talent acquisition, employee engagement, and organizational development. Experience in hr manager projects and innovations.",HR Manager,67
9,"Graphic designer skilled in Adobe Photoshop, Illustrator, UX/UI, and branding. Worked on multiple graphic designer solutions and optimizations.",Graphic Designer,78
9,"Graphic designer skilled in Adobe Photoshop, Illustrator, UX/UI, and branding. Worked on multiple graphic designer solutions and optimizations.",Graphic Designer,78
9,"Graphic designer skilled in Adobe Photoshop, Illustrator, UX/UI, and branding. Specialized in graphic designer technologies and strategies.",Graphic Designer,78
9,"Graphic designer skilled in Adobe Photoshop, Illustrator, UX/UI, and branding. Strong background in graphic designer industry trends.",Graphic Designer,78
9,"Graphic designer skilled in Adobe Photoshop, Illustrator, UX/UI, and branding. Experience in graphic designer projects and innovations.",Graphic Designer,78
10,"Data analyst proficient in SQL, Tableau, Power BI, and statistical analysis. Worked on multiple data analyst solutions and optimizations.",Data Analyst,76
10,"Data analyst proficient in SQL, Tableau, Power BI, and statistical analysis. Specialized in data analyst technologies and strategies.",Data Analyst,76
10,"Data analyst proficient in SQL, Tableau, Power BI, and statistical analysis. Strong background in data analyst industry trends.",Data Analyst,76
10,"Data analyst proficient in SQL, Tableau, Power BI, and statistical analysis. Experience in data analyst projects and innovations.",Data Analyst,76
10,"Data analyst proficient in SQL, Tableau, Power BI, and statistical analysis. Experience in data analyst projects and innovations.",Data Analyst,76
11,"Front-end developer with experience in JavaScript, Vue.js, CSS, and responsive design. Strong background in front-end developer industry trends.",Front-End Developer,91
11,"Front-end developer with experience in JavaScript, Vue.js, CSS, and responsive design. Worked on multiple front-end developer solutions and optimizations.",Front-End Developer,91
11,"Front-end developer with experience in JavaScript, Vue.js, CSS, and responsive design. Specialized in front-end developer technologies and strategies.",Front-End Developer,91
11,"Front-end developer with experience in JavaScript, Vue.js, CSS, and responsive design. Specialized in front-end developer technologies and strategies.",Front-End Developer,91
11,"Front-end developer with experience in JavaScript, Vue.js, CSS, and responsive design. Passionate about front-end developer advancements.",Front-End Developer,91
12,"Back-end developer skilled in Java, Spring Boot, REST APIs, and microservices. Worked on multiple back-end developer solutions and optimizations.",Back-End Developer,72
12,"Back-end developer skilled in Java, Spring Boot, REST APIs, and microservices. Specialized in back-end developer technologies and strategies.",Back-End Developer,72
12,"Back-end developer skilled in Java, Spring Boot, REST APIs, and microservices. Experience in back-end developer projects and innovations.",Back-End Developer,72
12,"Back-end developer skilled in Java, Spring Boot, REST APIs, and microservices. Passionate about back-end developer advancements.",Back-End Developer,72
12,"Back-end developer skilled in Java, Spring Boot, REST APIs, and microservices. Specialized in back-end developer technologies and strategies.",Back-End Developer,72
13,"Network engineer with expertise in routing, firewalls, VPNs, and network architecture. Worked on multiple network engineer solutions and optimizations.",Network Engineer,63
13,"Network engineer with expertise in routing, firewalls, VPNs, and network architecture. Passionate about network engineer advancements.",Network Engineer,63
13,"Network engineer with expertise in routing, firewalls, VPNs, and network architecture. Specialized in network engineer technologies and strategies.",Network Engineer,63
13,"Network engineer with expertise in routing, firewalls, VPNs, and network architecture. Passionate about network engineer advancements.",Network Engineer,63
13,"Network engineer with expertise in routing, firewalls, VPNs, and network architecture. Experience in network engineer projects and innovations.",Network Engineer,63
14,"Content writer with experience in blogging, copywriting, and technical documentation. Passionate about content writer advancements.",Content Writer,74
14,"Content writer with experience in blogging, copywriting, and technical documentation. Specialized in content writer technologies and strategies.",Content Writer,74
14,"Content writer with experience in blogging, copywriting, and technical documentation. Specialized in content writer technologies and strategies.",Content Writer,74
14,"Content writer with experience in blogging, copywriting, and technical documentation. Passionate about content writer advancements.",Content Writer,74
14,"Content writer with experience in blogging, copywriting, and technical documentation. Experience in content writer projects and innovations.",Content Writer,74
15,"Mobile app developer with skills in Swift, Kotlin, and Flutter for Android/iOS. Specialized in mobile app developer technologies and strategies.",Mobile App Developer,62
15,"Mobile app developer with skills in Swift, Kotlin, and Flutter for Android/iOS. Specialized in mobile app developer technologies and strategies.",Mobile App Developer,62
15,"Mobile app developer with skills in Swift, Kotlin, and Flutter for Android/iOS. Passionate about mobile app developer advancements.",Mobile App Developer,62
15,"Mobile app developer with skills in Swift, Kotlin, and Flutter for Android/iOS. Specialized in mobile app developer technologies and strategies.",Mobile App Developer,62
15,"Mobile app developer with skills in Swift, Kotlin, and Flutter for Android/iOS. Worked on multiple mobile app developer solutions and optimizations.",Mobile App Developer,62
16,"IT support specialist experienced in troubleshooting, help desk support, and IT security. Specialized in it support specialist technologies and strategies.",IT Support Specialist,63
16,"IT support specialist experienced in troubleshooting, help desk support, and IT security. Passionate about it support specialist advancements.",IT Support Specialist,63
16,"IT support specialist experienced in troubleshooting, help desk support, and IT security. Passionate about it support specialist advancements.",IT Support Specialist,63
16,"IT support specialist experienced in troubleshooting, help desk support, and IT security. Experience in it support specialist projects and innovations.",IT Support Specialist,63
16,"IT support specialist experienced in troubleshooting, help desk support, and IT security. Experience in it support specialist projects and innovations.",IT Support Specialist,63
17,"Blockchain developer with expertise in smart contracts, Ethereum, and Solidity. Strong background in blockchain developer industry trends.",Blockchain Developer,92
17,"Blockchain developer with expertise in smart contracts, Ethereum, and Solidity. Strong background in blockchain developer industry trends.",Blockchain Developer,92
17,"Blockchain developer with expertise in smart contracts, Ethereum, and Solidity. Strong background in blockchain developer industry trends.",Blockchain Developer,92
17,"Blockchain developer with expertise in smart contracts, Ethereum, and Solidity. Specialized in blockchain developer technologies and strategies.",Blockchain Developer,92
17,"Blockchain developer with expertise in smart contracts, Ethereum, and Solidity. Strong background in blockchain developer industry trends.",Blockchain Developer,92
18,"Electrical engineer skilled in circuit design, embedded systems, and MATLAB. Strong background in electrical engineer industry trends.",Electrical Engineer,74
18,"Electrical engineer skilled in circuit design, embedded systems, and MATLAB. Strong background in electrical engineer industry trends.",Electrical Engineer,74
18,"Electrical engineer skilled in circuit design, embedded systems, and MATLAB. Passionate about electrical engineer advancements.",Electrical Engineer,74
18,"Electrical engineer skilled in circuit design, embedded systems, and MATLAB. Worked on multiple electrical engineer solutions and optimizations.",Electrical Engineer,74
18,"Electrical engineer skilled in circuit design, embedded systems, and MATLAB. Strong background in electrical engineer industry trends.",Electrical Engineer,74
19,"Mechanical engineer with experience in CAD, SolidWorks, and industrial automation. Passionate about mechanical engineer advancements.",Mechanical Engineer,68
19,"Mechanical engineer with experience in CAD, SolidWorks, and industrial automation. Worked on multiple mechanical engineer solutions and optimizations.",Mechanical Engineer,68
19,"Mechanical engineer with experience in CAD, SolidWorks, and industrial automation. Strong background in mechanical engineer industry trends.",Mechanical Engineer,68
19,"Mechanical engineer with experience in CAD, SolidWorks, and industrial automation. Experience in mechanical engineer projects and innovations.",Mechanical Engineer,68
19,"Mechanical engineer with experience in CAD, SolidWorks, and industrial automation. Experience in mechanical engineer projects and innovations.",Mechanical Engineer,68
20,"Biomedical engineer specializing in medical imaging, prosthetics, and biotechnology. Experience in biomedical engineer projects and innovations.",Biomedical Engineer,90
20,"Biomedical engineer specializing in medical imaging, prosthetics, and biotechnology. Experience in biomedical engineer projects and innovations.",Biomedical Engineer,90
20,"Biomedical engineer specializing in medical imaging, prosthetics, and biotechnology. Experience in biomedical engineer projects and innovations.",Biomedical Engineer,90
20,"Biomedical engineer specializing in medical imaging, prosthetics, and biotechnology. Worked on multiple biomedical engineer solutions and optimizations.",Biomedical Engineer,90
20,"Biomedical engineer specializing in medical imaging, prosthetics, and biotechnology. Specialized in biomedical engineer technologies and strategies.",Biomedical Engineer,90
21,"Operations manager with experience in logistics, supply chain, and strategic planning. Experience in operations manager projects and innovations.",Operations Manager,95
21,"Operations manager with experience in logistics, supply chain, and strategic planning. Specialized in operations manager technologies and strategies.",Operations Manager,95
21,"Operations manager with experience in logistics, supply chain, and strategic planning. Specialized in operations manager technologies and strategies.",Operations Manager,95
21,"Operations manager with experience in logistics, supply chain, and strategic planning. Passionate about operations manager advancements.",Operations Manager,95
21,"Operations manager with experience in logistics, supply chain, and strategic planning. Experience in operations manager projects and innovations.",Operations Manager,95
22,"QA tester with skills in automation testing, Selenium, and software debugging. Strong background in qa tester industry trends.",QA Tester,80
22,"QA tester with skills in automation testing, Selenium, and software debugging. Worked on multiple qa tester solutions and optimizations.",QA Tester,80
22,"QA tester with skills in automation testing, Selenium, and software debugging. Worked on multiple qa tester solutions and optimizations.",QA Tester,80
22,"QA tester with skills in automation testing, Selenium, and software debugging. Passionate about qa tester advancements.",QA Tester,80
22,"QA tester with skills in automation testing, Selenium, and software debugging. Specialized in qa tester technologies and strategies.",QA Tester,80
23,"UX/UI designer proficient in wireframing, prototyping, and user experience research. Strong background in ux/ui designer industry trends.",UX/UI Designer,63
23,"UX/UI designer proficient in wireframing, prototyping, and user experience research. Strong background in ux/ui designer industry trends.",UX/UI Designer,63
23,"UX/UI designer proficient in wireframing, prototyping, and user experience research. Specialized in ux/ui designer technologies and strategies.",UX/UI Designer,63
23,"UX/UI designer proficient in wireframing, prototyping, and user experience research. Experience in ux/ui designer projects and innovations.",UX/UI Designer,63
23,"UX/UI designer proficient in wireframing, prototyping, and user experience research. Passionate about ux/ui designer advancements.",UX/UI Designer,63
24,"Game developer with expertise in Unity, Unreal Engine, and C# programming. Specialized in game developer technologies and strategies.",Game Developer,90
24,"Game developer with expertise in Unity, Unreal Engine, and C# programming. Passionate about game developer advancements.",Game Developer,90
24,"Game developer with expertise in Unity, Unreal Engine, and C# programming. Passionate about game developer advancements.",Game Developer,90
24,"Game developer with expertise in Unity, Unreal Engine, and C# programming. Passionate about game developer advancements.",Game Developer,90
24,"Game developer with expertise in Unity, Unreal Engine, and C# programming. Worked on multiple game developer solutions and optimizations.",Game Developer,90
25,"Database administrator skilled in MySQL, PostgreSQL, and database optimization. Passionate about database administrator advancements.",Database Administrator,92
25,"Database administrator skilled in MySQL, PostgreSQL, and database optimization. Strong background in database administrator industry trends.",Database Administrator,92
25,"Database administrator skilled in MySQL, PostgreSQL, and database optimization. Passionate about database administrator advancements.",Database Administrator,92
25,"Database administrator skilled in MySQL, PostgreSQL, and database optimization. Worked on multiple database administrator solutions and optimizations.",Database Administrator,92
25,"Database administrator skilled in MySQL, PostgreSQL, and database optimization. Specialized in database administrator technologies and strategies.",Database Administrator,92
26,"Social media manager with expertise in campaign strategy, influencer marketing, and analytics. Strong background in social media manager industry trends.",Social Media Manager,70
26,"Social media manager with expertise in campaign strategy, influencer marketing, and analytics. Specialized in social media manager technologies and strategies.",Social Media Manager,70
26,"Social media manager with expertise in campaign strategy, influencer marketing, and analytics. Worked on multiple social media manager solutions and optimizations.",Social Media Manager,70
